Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,County,Region,Product ID,Category,Sub-Category,Manufacturer,Sales,Quantity,Discount,Profit
162,CA-2016-119697,28-12-16,31-12-16,Second Class,EM-13960,Eric Murdock,Consumer,Kenya,Pennsylvania,East,TEC-AC-10003657,Technology,Accessories,Other,54.384,2,0.2,1.3596
182,CA-2015-166191,05-12-15,09-12-15,Second Class,DK-13150,David Kendrick,Corporate,Kenya,Illinois,Central,TEC-AC-10004659,Technology,Accessories,Other,408.744,7,0.2,76.6395
185,CA-2015-158274,19-11-15,24-11-15,Second Class,RM-19675,Robert Marley,Home Office,Kenya,Louisiana,South,TEC-AC-10002345,Technology,Accessories,Other,29,2,0,7.25
187,CA-2015-123260,26-08-15,30-08-15,Standard Class,FM-14290,Frank Merwin,Home Office,Kenya,California,West,TEC-AC-10002323,Technology,Accessories,Other,176.8,8,0,22.984
212,CA-2016-101007,09-02-16,13-02-16,Second Class,MS-17980,Michael Stewart,Corporate,Kenya,Texas,Central,TEC-AC-10001266,Technology,Accessories,Other,20.8,2,0.2,6.5
217,CA-2016-146262,02-01-16,09-01-16,Standard Class,VW-21775,Victoria Wilson,Corporate,Kenya,Ohio,East,TEC-AC-10000109,Technology,Accessories,Other,89.584,2,0.2,4.4792
236,US-2018-100930,07-04-18,12-04-18,Standard Class,CS-12400,Christopher Schild,Home Office,Kenya,Florida,South,TEC-AC-10003832,Technology,Accessories,Other,617.976,3,0.2,-7.7247
252,CA-2017-145625,11-09-17,17-09-17,Standard Class,KC-16540,Kelly Collister,Consumer,Kenya,California,West,TEC-AC-10003832,Technology,Accessories,Other,3347.37,13,0,636.0003
259,CA-2018-163139,01-12-18,03-12-18,Second Class,CC-12670,Craig Carreira,Consumer,Kenya,New York,East,TEC-AC-10000290,Technology,Accessories,Other,20.37,3,0,6.9258
266,CA-2016-155040,10-11-16,15-11-16,Standard Class,AH-10210,Alan Hwang,Consumer,Kenya,California,West,TEC-AC-10004469,Technology,Accessories,Other,79.9,2,0,35.156
272,CA-2016-155334,30-07-16,31-07-16,First Class,HA-14920,Helen Andreada,Consumer,Kenya,California,West,TEC-AC-10003628,Technology,Accessories,Other,209.93,7,0,92.3692
285,CA-2016-130883,26-09-16,02-10-16,Standard Class,TB-21520,Tracy Blumstein,Consumer,Kenya,Oregon,West,TEC-AC-10001956,Technology,Accessories,Other,239.8,5,0.2,47.96
292,CA-2017-110772,20-11-17,24-11-17,Second Class,NZ-18565,Nick Zandusky,Home Office,Kenya,Ohio,East,TEC-AC-10002001,Technology,Accessories,Other,255.984,2,0.2,54.3966
321,CA-2015-164973,04-11-15,09-11-15,Standard Class,NM-18445,Nathan Mautz,Home Office,Kenya,New York,East,TEC-AC-10000892,Technology,Accessories,Other,360,4,0,129.6
325,CA-2017-162138,23-04-17,27-04-17,Standard Class,GK-14620,Grace Kelly,Corporate,Kenya,California,West,TEC-AC-10001908,Technology,Accessories,Other,99.99,1,0,34.9965
350,CA-2017-129714,01-09-17,03-09-17,First Class,AB-10060,Adam Bellavance,Home Office,Kenya,New York,East,TEC-AC-10000290,Technology,Accessories,Other,6.79,1,0,2.3086
374,US-2015-119137,23-07-15,27-07-15,Standard Class,AG-10900,Arthur Gainer,Consumer,Kenya,Arizona,West,TEC-AC-10003911,Technology,Accessories,Other,1023.936,8,0.2,179.1888
376,US-2015-119137,23-07-15,27-07-15,Standard Class,AG-10900,Arthur Gainer,Consumer,Kenya,Arizona,West,TEC-AC-10002076,Technology,Accessories,Other,479.04,10,0.2,-29.94
384,CA-2016-125395,26-06-16,29-06-16,Second Class,LA-16780,Laura Armstrong,Corporate,Kenya,Michigan,Central,TEC-AC-10004708,Technology,Accessories,Other,41.9,2,0,8.799
386,US-2016-168935,27-11-16,02-12-16,Standard Class,DO-13435,Denny Ordway,Consumer,Kenya,Florida,South,TEC-AC-10002335,Technology,Accessories,Other,83.976,3,0.2,-1.0497
391,CA-2018-101798,11-12-18,15-12-18,Standard Class,MV-18190,Mike Vittorini,Consumer,Kenya,New York,East,TEC-AC-10001998,Technology,Accessories,Other,39.98,2,0,13.5932
402,CA-2017-108987,08-09-17,10-09-17,Second Class,AG-10675,Anna Gayman,Consumer,Kenya,Texas,Central,TEC-AC-10000158,Technology,Accessories,Other,57.584,2,0.2,0.7198
406,CA-2018-117457,08-12-18,12-12-18,Standard Class,KH-16510,Keith Herrera,Consumer,Kenya,California,West,TEC-AC-10000158,Technology,Accessories,Other,179.95,5,0,37.7895
422,CA-2015-142048,22-06-15,25-06-15,First Class,JE-15745,Joel Eaton,Consumer,Kenya,Colorado,West,TEC-AC-10004114,Technology,Accessories,Other,196.752,6,0.2,56.5662
431,US-2017-123750,15-04-17,21-04-17,Standard Class,RB-19795,Ross Baird,Home Office,Kenya,North Carolina,South,TEC-AC-10004659,Technology,Accessories,Other,408.744,7,0.2,76.6395
432,US-2017-123750,15-04-17,21-04-17,Standard Class,RB-19795,Ross Baird,Home Office,Kenya,North Carolina,South,TEC-AC-10004659,Technology,Accessories,Other,291.96,5,0.2,54.7425
436,US-2015-150574,19-12-15,25-12-15,Standard Class,MK-18160,Mike Kennedy,Consumer,Kenya,Florida,South,TEC-AC-10002600,Technology,Accessories,Other,247.8,5,0.2,-18.585
456,CA-2017-100153,13-12-17,17-12-17,Standard Class,KH-16630,Ken Heidel,Corporate,Kenya,Oklahoma,Central,TEC-AC-10001772,Technology,Accessories,Other,63.88,4,0,24.9132
461,CA-2016-109638,15-12-16,22-12-16,Standard Class,JH-15985,Joseph Holt,Consumer,Kenya,Washington,West,TEC-AC-10004571,Technology,Accessories,Other,899.91,9,0,377.9622
482,CA-2015-134677,06-10-15,10-10-15,Standard Class,XP-21865,Xylona Preis,Consumer,Kenya,California,West,TEC-AC-10001445,Technology,Accessories,Other,9.09,3,0,1.9089
484,CA-2015-127691,22-07-15,27-07-15,Standard Class,EM-14065,Erin Mull,Consumer,Kenya,New York,East,TEC-AC-10002567,Technology,Accessories,Other,159.98,2,0,57.5928
490,CA-2015-133753,09-06-15,13-06-15,Second Class,CW-11905,Carl Weiss,Home Office,Kenya,Texas,Central,TEC-AC-10000303,Technology,Accessories,Other,63.984,2,0.2,10.3974
494,CA-2017-169166,09-05-17,14-05-17,Standard Class,SS-20590,Sonia Sunley,Consumer,Kenya,Washington,West,TEC-AC-10000991,Technology,Accessories,Other,93.98,2,0,13.1572
512,CA-2018-135307,26-11-18,27-11-18,First Class,LS-17245,Lynn Smith,Consumer,Kenya,Missouri,Central,TEC-AC-10002399,Technology,Accessories,Other,38.04,2,0,12.1728
520,CA-2016-157812,22-03-16,26-03-16,Standard Class,DB-13210,Dean Braden,Consumer,Kenya,Texas,Central,TEC-AC-10000171,Technology,Accessories,Other,18.392,1,0.2,5.2877
525,US-2017-139486,21-05-17,23-05-17,First Class,LH-17155,Logan Haushalter,Consumer,Kenya,California,West,TEC-AC-10003832,Technology,Accessories,Other,66.26,2,0,27.1666
541,CA-2015-140795,01-02-15,03-02-15,First Class,BD-11500,Bradley Drucker,Consumer,Kenya,Wisconsin,Central,TEC-AC-10001432,Technology,Accessories,Other,468.9,6,0,206.316
544,CA-2015-103849,11-05-15,16-05-15,Standard Class,PG-18895,Paul Gonzalez,Consumer,Kenya,Texas,Central,TEC-AC-10001465,Technology,Accessories,Other,58.112,2,0.2,7.264
594,CA-2015-135405,09-01-15,13-01-15,Standard Class,MS-17830,Melanie Seite,Consumer,Kenya,Texas,Central,TEC-AC-10001266,Technology,Accessories,Other,31.2,3,0.2,9.75
632,US-2017-135720,11-12-17,13-12-17,Second Class,FM-14380,Fred McMath,Consumer,Kenya,Colorado,West,TEC-AC-10001267,Technology,Accessories,Other,119.8,5,0.2,29.95
634,CA-2018-144694,24-09-18,26-09-18,Second Class,BD-11605,Brian Dahlen,Consumer,Kenya,Florida,South,TEC-AC-10002857,Technology,Accessories,Other,17.88,3,0.2,2.4585
644,CA-2018-106103,10-06-18,15-06-18,Standard Class,SC-20305,Sean Christensen,Consumer,Kenya,Michigan,Central,TEC-AC-10003832,Technology,Accessories,Other,132.52,4,0,54.3332
651,CA-2017-160745,11-12-17,16-12-17,Second Class,AR-10825,Anthony Rawles,Corporate,Kenya,Washington,West,TEC-AC-10001142,Technology,Accessories,Other,316,4,0,31.6
654,CA-2018-140844,19-06-18,23-06-18,Standard Class,AR-10405,Allen Rosenblatt,Corporate,Kenya,New York,East,TEC-AC-10001101,Technology,Accessories,Other,103.12,8,0,10.312
676,CA-2018-130351,05-12-18,08-12-18,First Class,RB-19570,Rob Beeghly,Consumer,Kenya,Indiana,Central,TEC-AC-10003832,Technology,Accessories,Other,99.39,3,0,40.7499
678,US-2018-119438,18-03-18,23-03-18,Standard Class,CD-11980,Carol Darley,Consumer,Kenya,Texas,Central,TEC-AC-10003614,Technology,Accessories,Other,27.816,3,0.2,4.5201
686,CA-2015-157784,05-07-15,08-07-15,First Class,MC-17845,Michael Chen,Consumer,Kenya,Mississippi,South,TEC-AC-10003911,Technology,Accessories,Other,479.97,3,0,163.1898
693,CA-2016-131534,28-03-16,02-04-16,Standard Class,AB-10165,Alan Barnes,Consumer,Kenya,California,West,TEC-AC-10002253,Technology,Accessories,Other,166.24,1,0,24.936
707,CA-2015-138527,12-09-15,17-09-15,Standard Class,BN-11470,Brad Norvell,Corporate,Kenya,North Carolina,South,TEC-AC-10002399,Technology,Accessories,Other,15.216,1,0.2,2.2824
708,CA-2015-112158,02-12-15,04-12-15,First Class,DP-13165,David Philippe,Consumer,Kenya,New York,East,TEC-AC-10003628,Technology,Accessories,Other,119.96,4,0,52.7824
715,US-2018-100048,19-05-18,24-05-18,Standard Class,RS-19765,Roland Schwarz,Corporate,Kenya,New York,East,TEC-AC-10001606,Technology,Accessories,Other,299.97,3,0,113.9886
734,CA-2018-131954,21-01-18,25-01-18,Standard Class,DS-13030,Darrin Sayre,Home Office,Kenya,Washington,West,TEC-AC-10003610,Technology,Accessories,Other,179.97,3,0,86.3856
739,CA-2015-132500,08-09-15,12-09-15,Standard Class,GZ-14470,Gary Zandusky,Consumer,Kenya,California,West,TEC-AC-10001383,Technology,Accessories,Other,49.98,2,0,8.4966
758,CA-2015-106803,29-12-15,02-01-16,Standard Class,DC-13285,Debra Catini,Consumer,Kenya,Minnesota,Central,TEC-AC-10001267,Technology,Accessories,Other,119.8,4,0,47.92
766,CA-2015-162775,13-01-15,15-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,Kenya,Louisiana,South,TEC-AC-10003174,Technology,Accessories,Other,646.74,6,0,258.696
783,US-2016-157014,03-10-16,06-10-16,Second Class,BM-11785,Bryan Mills,Consumer,Kenya,Ohio,East,TEC-AC-10002167,Technology,Accessories,Other,24,2,0.2,-2.7
785,US-2016-157014,03-10-16,06-10-16,Second Class,BM-11785,Bryan Mills,Consumer,Kenya,Ohio,East,TEC-AC-10000057,Technology,Accessories,Other,47.984,2,0.2,0.5998
809,CA-2016-140921,03-02-16,05-02-16,First Class,AA-10375,Allen Armold,Consumer,Kenya,Nebraska,Central,TEC-AC-10004901,Technology,Accessories,Other,149.97,3,0,50.9898
813,CA-2015-151995,13-10-15,15-10-15,First Class,ZC-21910,Zuschuss Carroll,Consumer,Kenya,Washington,West,TEC-AC-10001101,Technology,Accessories,Other,25.78,2,0,2.578
815,CA-2018-143686,14-05-18,14-05-18,Same Day,PJ-19015,Pauline Johnson,Consumer,Kenya,California,West,TEC-AC-10001838,Technology,Accessories,Other,1399.93,7,0,601.9699
823,CA-2018-101434,20-06-18,27-06-18,Standard Class,TR-21325,Toby Ritter,Consumer,Kenya,New Jersey,East,TEC-AC-10002402,Technology,Accessories,Other,239.97,3,0,71.991
825,US-2015-102071,09-05-15,15-05-15,Standard Class,PG-18820,Patrick Gardner,Consumer,Kenya,California,West,TEC-AC-10003441,Technology,Accessories,Other,67.8,4,0,4.068
826,US-2015-102071,09-05-15,15-05-15,Standard Class,PG-18820,Patrick Gardner,Consumer,Kenya,California,West,TEC-AC-10000109,Technology,Accessories,Other,167.97,3,0,40.3128
850,CA-2015-107755,07-02-15,12-02-15,Standard Class,CK-12760,Cyma Kinney,Corporate,Kenya,New Jersey,East,TEC-AC-10000710,Technology,Accessories,Other,115.36,7,0,49.6048
863,CA-2017-134474,05-01-17,07-01-17,Second Class,AJ-10795,Anthony Johnson,Corporate,Kenya,Florida,South,TEC-AC-10001714,Technology,Accessories,Other,191.472,6,0.2,40.6878
877,CA-2017-116736,17-01-17,21-01-17,Standard Class,CC-12430,Chuck Clark,Home Office,Kenya,New Hampshire,East,TEC-AC-10003628,Technology,Accessories,Other,29.99,1,0,13.1956
878,CA-2017-116736,17-01-17,21-01-17,Standard Class,CC-12430,Chuck Clark,Home Office,Kenya,New Hampshire,East,TEC-AC-10002049,Technology,Accessories,Other,371.97,3,0,66.9546
890,CA-2018-132934,20-06-18,26-06-18,Standard Class,JE-15475,Jeremy Ellison,Consumer,Kenya,New York,East,TEC-AC-10000927,Technology,Accessories,Other,149.95,5,0,14.995
911,CA-2018-137596,02-09-18,07-09-18,Standard Class,BE-11335,Bill Eplett,Home Office,Kenya,Michigan,Central,TEC-AC-10004666,Technology,Accessories,Other,1928.78,7,0,829.3754
915,CA-2018-102519,27-11-18,29-11-18,First Class,BM-11650,Brian Moss,Corporate,Kenya,Wisconsin,Central,TEC-AC-10001772,Technology,Accessories,Other,143.73,9,0,56.0547
922,CA-2016-111164,11-04-16,15-04-16,Standard Class,SE-20110,Sanjit Engle,Consumer,Kenya,New York,East,TEC-AC-10002473,Technology,Accessories,Other,85.14,3,0,34.9074
927,CA-2015-132962,13-09-15,16-09-15,First Class,JM-15535,Jessica Myrick,Consumer,Kenya,Pennsylvania,East,TEC-AC-10004353,Technology,Accessories,Other,252,5,0.2,53.55
938,US-2018-111745,05-11-18,06-11-18,First Class,RA-19885,Ruben Ausman,Corporate,Kenya,New Mexico,West,TEC-AC-10003911,Technology,Accessories,Other,159.99,1,0,54.3966
1002,CA-2016-124891,31-07-16,31-07-16,Same Day,RH-19495,Rick Hansen,Consumer,Kenya,New York,East,TEC-AC-10003033,Technology,Accessories,Other,2309.65,7,0,762.1845
1015,US-2016-126214,21-12-16,24-12-16,Second Class,JS-15880,John Stevenson,Consumer,Kenya,Washington,West,TEC-AC-10003198,Technology,Accessories,Other,99.6,1,0,36.852
1042,CA-2017-102981,06-09-17,09-09-17,Second Class,MO-17500,Mary O'Rourke,Consumer,Kenya,New York,East,TEC-AC-10004761,Technology,Accessories,Other,31.86,2,0,11.151
1050,CA-2015-139192,27-05-15,01-06-15,Second Class,LC-16885,Lena Creighton,Consumer,Kenya,California,West,TEC-AC-10001606,Technology,Accessories,Other,99.99,1,0,37.9962
1076,CA-2017-134348,12-11-17,19-11-17,Standard Class,MS-17710,Maurice Satty,Consumer,Kenya,Arizona,West,TEC-AC-10003447,Technology,Accessories,Other,31.984,2,0.2,1.999
1101,CA-2017-107216,14-06-17,17-06-17,First Class,PV-18985,Paul Van Hugh,Home Office,Kenya,California,West,TEC-AC-10001013,Technology,Accessories,Other,29.29,1,0,9.6657
1116,CA-2018-140585,18-12-18,23-12-18,Second Class,RA-19915,Russell Applegate,Consumer,Kenya,California,West,TEC-AC-10003610,Technology,Accessories,Other,119.98,2,0,57.5904
1119,CA-2016-142755,04-09-16,08-09-16,Standard Class,CS-12355,Christine Sundaresam,Consumer,Kenya,Georgia,South,TEC-AC-10002049,Technology,Accessories,Other,619.95,5,0,111.591
1167,CA-2016-125416,02-11-16,02-11-16,Same Day,KC-16540,Kelly Collister,Consumer,Kenya,Washington,West,TEC-AC-10001552,Technology,Accessories,Other,447.93,9,0,49.2723
1180,CA-2017-168081,24-04-17,27-04-17,Second Class,CA-12055,Cathy Armstrong,Home Office,Kenya,Texas,Central,TEC-AC-10003174,Technology,Accessories,Other,258.696,3,0.2,64.674
1198,CA-2017-130946,08-04-17,12-04-17,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,Kenya,Texas,Central,TEC-AC-10001990,Technology,Accessories,Other,431.928,9,0.2,64.7892
1217,US-2018-118087,09-09-18,13-09-18,Standard Class,SP-20620,Stefania Perrino,Corporate,Kenya,Pennsylvania,East,TEC-AC-10004469,Technology,Accessories,Other,95.88,3,0.2,28.764
1219,US-2018-118087,09-09-18,13-09-18,Standard Class,SP-20620,Stefania Perrino,Corporate,Kenya,Pennsylvania,East,TEC-AC-10003174,Technology,Accessories,Other,258.696,3,0.2,64.674
1224,CA-2017-126004,04-12-17,05-12-17,First Class,BM-11140,Becky Martin,Consumer,Kenya,New York,East,TEC-AC-10001432,Technology,Accessories,Other,78.15,1,0,34.386
1260,US-2017-168620,24-12-17,28-12-17,Second Class,RB-19795,Ross Baird,Home Office,Kenya,North Carolina,South,TEC-AC-10004469,Technology,Accessories,Other,255.68,8,0.2,76.704
1277,CA-2017-119186,26-05-17,26-05-17,Same Day,MS-17710,Maurice Satty,Consumer,Kenya,Texas,Central,TEC-AC-10000580,Technology,Accessories,Other,63.992,1,0.2,-7.1991
1279,CA-2015-163293,08-09-15,11-09-15,First Class,KC-16255,Karen Carlisle,Corporate,Kenya,Georgia,South,TEC-AC-10004209,Technology,Accessories,Other,32.97,3,0,12.8583
1280,CA-2015-163293,08-09-15,11-09-15,First Class,KC-16255,Karen Carlisle,Corporate,Kenya,Georgia,South,TEC-AC-10000023,Technology,Accessories,Other,83.88,4,0,30.1968
1318,CA-2018-157651,10-12-18,14-12-18,Standard Class,HA-14920,Helen Andreada,Consumer,Kenya,Pennsylvania,East,TEC-AC-10003116,Technology,Accessories,Other,14.2,1,0.2,3.3725
1366,US-2018-155425,10-11-18,11-11-18,First Class,AB-10600,Ann Blume,Corporate,Kenya,Arizona,West,TEC-AC-10001314,Technology,Accessories,Other,239.952,6,0.2,-35.9928
1372,CA-2018-136672,07-03-18,12-03-18,Standard Class,MG-17890,Michael Granlund,Home Office,Kenya,Maryland,East,TEC-AC-10004510,Technology,Accessories,Other,49.08,3,0,4.908
1399,CA-2017-124485,24-11-17,26-11-17,First Class,NC-18340,Nat Carroll,Consumer,Kenya,New York,East,TEC-AC-10002323,Technology,Accessories,Other,88.4,4,0,11.492
1407,US-2015-118486,06-04-15,08-04-15,First Class,SD-20485,Shirley Daniels,Home Office,Kenya,Pennsylvania,East,TEC-AC-10004659,Technology,Accessories,Other,116.784,2,0.2,21.897
1415,CA-2018-115994,28-01-18,31-01-18,Second Class,BT-11305,Beth Thompson,Home Office,Kenya,California,West,TEC-AC-10000580,Technology,Accessories,Other,239.97,3,0,26.3967
1418,CA-2016-126697,21-09-16,24-09-16,First Class,SV-20815,Stuart Van,Corporate,Kenya,Texas,Central,TEC-AC-10004353,Technology,Accessories,Other,151.2,3,0.2,32.13
1438,CA-2016-139731,15-10-16,15-10-16,Same Day,JE-15745,Joel Eaton,Consumer,Kenya,Texas,Central,TEC-AC-10004975,Technology,Accessories,Other,263.88,3,0.2,42.8805
1463,CA-2017-152289,26-08-17,28-08-17,First Class,LC-16930,Linda Cazamias,Corporate,Kenya,Texas,Central,TEC-AC-10004571,Technology,Accessories,Other,159.984,2,0.2,43.9956
1467,CA-2015-151708,08-08-15,14-08-15,Standard Class,MB-17305,Maria Bertelson,Consumer,Kenya,Arizona,West,TEC-AC-10001767,Technology,Accessories,Other,95.976,3,0.2,-10.7973
1468,CA-2016-100769,16-05-16,16-05-16,Same Day,TH-21550,Tracy Hopkins,Home Office,Kenya,Florida,South,TEC-AC-10002402,Technology,Accessories,Other,255.968,4,0.2,31.996
1485,US-2017-108098,14-10-17,18-10-17,Standard Class,CP-12340,Christine Phan,Corporate,Kenya,Washington,West,TEC-AC-10000865,Technology,Accessories,Other,177,3,0,30.09
1488,CA-2016-140410,03-11-16,07-11-16,Standard Class,CM-12655,Corinna Mitchell,Home Office,Kenya,California,West,TEC-AC-10001109,Technology,Accessories,Other,89.97,3,0,37.7874
1556,CA-2018-120761,04-09-18,08-09-18,Standard Class,AB-10150,Aimee Bixby,Consumer,Kenya,New York,East,TEC-AC-10000171,Technology,Accessories,Other,91.96,4,0,39.5428
1567,CA-2016-129112,29-11-16,30-11-16,First Class,AW-10840,Anthony Witt,Consumer,Kenya,Texas,Central,TEC-AC-10003038,Technology,Accessories,Other,21.48,3,0.2,-0.2685
1573,US-2015-157385,23-11-15,25-11-15,First Class,SC-20095,Sanjit Chand,Consumer,Kenya,California,West,TEC-AC-10003280,Technology,Accessories,Other,29.99,1,0,6.2979
1589,CA-2016-131338,09-08-16,12-08-16,First Class,NP-18325,Naresj Patel,Consumer,Kenya,New York,East,TEC-AC-10002600,Technology,Accessories,Other,247.8,4,0,34.692
1615,US-2017-113509,15-03-17,19-03-17,Standard Class,PL-18925,Paul Lucas,Home Office,Kenya,Pennsylvania,East,TEC-AC-10004855,Technology,Accessories,Other,83.976,3,0.2,-13.6461
1624,CA-2018-108560,08-07-18,15-07-18,Standard Class,JC-15385,Jenna Caffey,Consumer,Kenya,Washington,West,TEC-AC-10003063,Technology,Accessories,Other,50,2,0,10.5
1626,CA-2016-157084,19-12-16,24-12-16,Standard Class,JG-15160,James Galang,Consumer,Kenya,California,West,TEC-AC-10002049,Technology,Accessories,Other,1265.85,3,0,556.974
1635,CA-2017-106530,08-05-17,08-05-17,Same Day,CL-12565,Clay Ludtke,Consumer,Kenya,Ohio,East,TEC-AC-10001465,Technology,Accessories,Other,58.112,2,0.2,7.264
1647,CA-2016-105221,01-11-16,03-11-16,First Class,VM-21685,Valerie Mitchum,Home Office,Kenya,Pennsylvania,East,TEC-AC-10002323,Technology,Accessories,Other,35.36,2,0.2,-3.094
1654,US-2018-132444,18-11-18,21-11-18,First Class,CD-12280,Christina DeMoss,Consumer,Kenya,Washington,West,TEC-AC-10003832,Technology,Accessories,Other,132.52,4,0,54.3332
1665,CA-2017-128531,24-11-17,26-11-17,Second Class,NS-18505,Neola Schneider,Consumer,Kenya,Texas,Central,TEC-AC-10002049,Technology,Accessories,Other,297.576,3,0.2,-7.4394
1667,CA-2017-128531,24-11-17,26-11-17,Second Class,NS-18505,Neola Schneider,Consumer,Kenya,Texas,Central,TEC-AC-10003023,Technology,Accessories,Other,94.992,2,0.2,-2.3748
1672,CA-2017-107615,22-03-17,25-03-17,First Class,RB-19645,Robert Barroso,Corporate,Kenya,Nevada,West,TEC-AC-10001013,Technology,Accessories,Other,58.58,2,0,19.3314
1694,US-2017-158708,26-06-17,29-06-17,Second Class,AB-10255,Alejandro Ballentine,Home Office,Kenya,Texas,Central,TEC-AC-10003133,Technology,Accessories,Other,13.616,2,0.2,3.5742
1695,CA-2016-156335,25-09-16,28-09-16,Second Class,PO-19195,Phillina Ober,Home Office,Kenya,New Jersey,East,TEC-AC-10002006,Technology,Accessories,Other,63.96,4,0,19.8276
1723,US-2016-123218,20-12-16,25-12-16,Standard Class,KD-16345,Katherine Ducich,Consumer,Kenya,Illinois,Central,TEC-AC-10000736,Technology,Accessories,Other,255.968,4,0.2,51.1936
1729,CA-2017-106894,07-02-17,07-02-17,Same Day,CA-12265,Christina Anderson,Consumer,Kenya,Virginia,South,TEC-AC-10003063,Technology,Accessories,Other,100,4,0,21
1739,CA-2016-130204,03-09-16,09-09-16,Standard Class,DB-13120,David Bremer,Corporate,Kenya,California,West,TEC-AC-10003038,Technology,Accessories,Other,17.9,2,0,3.401
1740,CA-2016-130204,03-09-16,09-09-16,Standard Class,DB-13120,David Bremer,Corporate,Kenya,California,West,TEC-AC-10003590,Technology,Accessories,Other,129.45,5,0,46.602
1745,CA-2018-152807,30-10-18,03-11-18,Standard Class,MC-18100,Mick Crebagga,Consumer,Kenya,Pennsylvania,East,TEC-AC-10001142,Technology,Accessories,Other,442.4,7,0.2,-55.3
1759,CA-2015-139017,11-05-15,17-05-15,Standard Class,RM-19375,Raymond Messe,Consumer,Kenya,Texas,Central,TEC-AC-10001013,Technology,Accessories,Other,46.864,2,0.2,7.6154
1773,CA-2017-129686,27-11-17,29-11-17,Second Class,GG-14650,Greg Guthrie,Corporate,Kenya,Illinois,Central,TEC-AC-10001266,Technology,Accessories,Other,62.4,6,0.2,19.5
1780,CA-2017-124667,11-11-17,16-11-17,Standard Class,BD-11770,Bryan Davis,Consumer,Kenya,New York,East,TEC-AC-10003447,Technology,Accessories,Other,59.97,3,0,14.9925
1785,CA-2018-166317,22-09-18,26-09-18,Standard Class,JE-15610,Jim Epp,Corporate,Kenya,Wisconsin,Central,TEC-AC-10004510,Technology,Accessories,Other,98.16,6,0,9.816
1790,CA-2016-154326,15-02-16,19-02-16,Standard Class,RP-19855,Roy Phan,Corporate,Kenya,Wisconsin,Central,TEC-AC-10004568,Technology,Accessories,Other,139.95,5,0,26.5905
1805,CA-2018-158379,22-09-18,26-09-18,Second Class,JA-15970,Joseph Airdo,Consumer,Kenya,Pennsylvania,East,TEC-AC-10002926,Technology,Accessories,Other,79.984,2,0.2,22.9954
1808,US-2017-116729,25-12-17,28-12-17,First Class,GK-14620,Grace Kelly,Corporate,Kenya,California,West,TEC-AC-10001465,Technology,Accessories,Other,254.24,7,0,76.272
1845,US-2018-113852,29-07-18,02-08-18,Standard Class,GW-14605,Giulietta Weimer,Consumer,Kenya,Washington,West,TEC-AC-10003027,Technology,Accessories,Other,90.57,3,0,11.7741
1851,CA-2016-160472,20-07-16,25-07-16,Second Class,RK-19300,Ralph Kennedy,Consumer,Kenya,Indiana,Central,TEC-AC-10002253,Technology,Accessories,Other,831.2,5,0,124.68
